=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 670.85 ms
  Set 2: 682.64 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
255  |   128 |    1776 |    3532     253    3532 |     507     253     507 |    0.1    5.1    0.4
256  |   128 |    2155 |    3528     253    3528 |     506     253     506 |    0.1    4.9    0.4
257  |   128 |    2163 |    3533     254    3533 |     507     254     507 |    0.1    5.4    0.5
258  |   128 |    1644 |    3531     254    3531 |     507     254     507 |    0.1    4.1    0.4
259  |   128 |    2157 |    3523     253    3523 |     507     253     507 |    0.1    5.4    0.5
260  |   127 |    2133 |    3017     252    3017 |     503     252     503 |    0.1    4.1    0.4
261  |   128 |    1496 |    3019     252    3019 |     504     252     504 |    0.1    4.1    0.4
262  |   128 |    2150 |    3523     252    3523 |     505     252     505 |    0.1    5.3    0.5
263  |   126 |    2119 |    3002     251    3002 |     502     251     502 |    0.1    3.8    0.4
264  |   128 |    1640 |    3529     253    3529 |     506     253     506 |    0.1    5.0    0.4
265  |   128 |    2154 |    3517     252    3517 |     505     252     505 |    0.1    5.2    0.4
266  |   126 |    2089 |    2977     251    2977 |     502     251     502 |    0.1    3.9    0.4
267  |   128 |    2155 |    3524     253    3524 |     505     253     505 |    0.1    5.3    0.4
268  |   127 |    2108 |    3486     251    3486 |     503     251     503 |    0.1    4.2    0.4
269  |   128 |    2152 |    3523     253    3523 |     507     253     507 |    0.1    5.0    0.5
270  |   128 |    1783 |    3511     254    3511 |     510     254     510 |    0.1    4.3    0.4
271  |   128 |    2136 |    3483     253    3483 |     509     253     509 |    0.1    4.9    0.4
272  |   128 |    2152 |    3512     254    3512 |     507     254     507 |    0.1    5.1    0.4
273  |   128 |    1369 |    3012     252    3012 |     504     252     504 |    0.1    4.0    0.4
274  |   128 |    2149 |    3525     253    3525 |     506     253     506 |    0.1    5.5    0.4
275  |   128 |    2167 |    3527     254    3527 |     508     254     508 |    0.1    5.1    0.5
276  |   128 |    2101 |    2986     253    2986 |     506     253     506 |    0.1    3.9    0.4
277  |   128 |    2153 |    3517     254    3517 |     507     254     507 |    0.1    5.2    0.4
278  |   127 |    2143 |    3510     252    3510 |     505     252     505 |    0.1    5.2    0.4
279  |   128 |    2161 |    3525     253    3525 |     507     253     507 |    0.1    5.1    0.5
280  |   127 |    2143 |    3520     252    3520 |     504     252     504 |    0.1    5.3    0.4
281  |   128 |    2159 |    3536     253    3536 |     507     253     507 |    0.1    5.4    0.4
282  |   128 |    2135 |    3515     252    3515 |     504     252     504 |    0.1    5.3    0.4
283  |   128 |    2158 |    3516     254    3516 |     508     254     508 |    0.2    5.4    0.4
284  |   127 |    1360 |    2988     251    2988 |     503     251     503 |    0.1    4.1    0.4
285  |   128 |    2139 |    3509     253    3509 |     507     253     507 |    0.1    3.9    0.4
286  |   128 |    2162 |    3534     253    3534 |     507     254     507 |    0.1    5.5    0.5
287  |   128 |    2157 |    3510     253    3510 |     506     253     506 |    0.1    5.3    0.5
288  |   128 |    1646 |    3532     253    3532 |     507     253     507 |    0.1    5.5    0.5
289  |   128 |    2165 |    3532     254    3532 |     508     254     508 |    0.1    5.5    0.5
290  |   127 |    2143 |    3504     252    3504 |     504     252     504 |    0.1    5.6    0.5
291  |   128 |    2166 |    3534     254    3534 |     507     254     507 |    0.1    5.2    0.5
292  |   126 |    2122 |    3005     251    3005 |     502     251     502 |    0.1    4.1    0.4
293  |   128 |    2157 |    3529     253    3529 |     506     253     506 |    0.1    5.2    0.4
294  |   128 |    2141 |    3524     252    3524 |     505     252     505 |    0.1    5.6    0.5
295  |   128 |    1640 |    3528     254    3528 |     508     254     508 |    0.1    5.5    0.4
296  |   128 |    2153 |    3526     253    3526 |     506     253     506 |    0.1    5.3    0.4
297  |   128 |    2157 |    3531     253    3531 |     506     253     506 |    0.1    5.3    0.5
298  |   128 |    2168 |    3520     255    3520 |     510     255     510 |    0.1    5.2    0.5
299  |   128 |    2150 |    3522     252    3522 |     504     252     504 |    0.1    5.3    0.5
300  |   128 |    2143 |    3521     254    3521 |     507     254     507 |    0.1    4.2    0.4
301  |   127 |    2149 |    3508     253    3508 |     506     253     506 |    0.1    5.5    0.4
302  |   128 |    2162 |    3526     253    3526 |     506     253     506 |    0.1    5.3    0.5
