=== L3 alg2 10k ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 10000

Generating 10000 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 44219.51 ms
  Set 2: 43860.51 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
223  |   194 |    3274 |    5366     384    5366 |     768     384     768 |    0.2   12.6    0.7
224  |   194 |    3273 |    5371     385    5371 |     770     385     770 |    0.2   13.0    0.7
225  |   194 |    3285 |    5374     385    5374 |     770     385     770 |    0.2   13.5    0.7
226  |   194 |    3286 |    5370     386    5370 |     772     386     772 |    0.2   13.6    0.7
227  |   194 |    3274 |    5371     385    5371 |     769     384     769 |    0.2   13.6    0.7
228  |   194 |    3271 |    5362     384    5362 |     769     384     769 |    0.2   13.4    0.7
229  |   193 |    3264 |    5358     383    5358 |     767     383     767 |    0.2   13.4    0.7
230  |   193 |    3263 |    5361     384    5361 |     768     384     768 |    0.2   12.6    0.8
231  |   194 |    3272 |    5371     385    5371 |     771     385     771 |    0.3   12.9    0.7
232  |   193 |    3268 |    5358     384    5358 |     769     385     769 |    0.2   13.6    0.7
233  |   194 |    3271 |    4613     385    4613 |     770     385     770 |    0.2   10.2    0.6
234  |   194 |    3289 |    5383     386    5383 |     772     386     772 |    0.2   13.0    0.7
235  |   194 |    3288 |    5378     386    5378 |     772     386     772 |    0.2   13.1    0.7
236  |   194 |    3270 |    5363     385    5363 |     771     385     771 |    0.2   13.0    0.7
237  |   194 |    2504 |    5371     386    5371 |     772     386     772 |    0.2   13.9    0.9
238  |   194 |    3265 |    5367     385    5367 |     770     385     770 |    0.3   16.4    0.7
239  |   194 |    3274 |    5368     384    5368 |     769     384     769 |    0.2   13.5    0.7
240  |   194 |    3271 |    5366     384    5366 |     770     384     770 |    0.2   13.2    0.7
241  |   194 |    3251 |    4601     384    4601 |     768     384     768 |    0.2    9.4    0.6
242  |   193 |    2653 |    4570     384    4570 |     767     384     767 |    0.1    9.3    0.6
243  |   193 |    2113 |    5357     385    5357 |     770     385     770 |    0.2   12.7    0.7
244  |   194 |    2300 |    5367     386    5367 |     772     386     772 |    0.2   12.5    0.7
