=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2035.81 ms
  Set 2: 2033.84 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
107  |   192 |    3250 |    5345     383    5345 |     767     383     767 |    0.1   12.2    2.7
108  |   194 |    3282 |    5370     385    5370 |     771     385     771 |    0.1   12.9    2.7
109  |   193 |    3253 |    4599     384    4599 |     768     384     768 |    0.1    9.7    2.4
110  |   194 |    3280 |    5365     386    5365 |     773     386     773 |    0.1   12.6    2.7
111  |   193 |    3219 |    4567     383    4567 |     766     383     766 |    0.1    9.5    2.4
112  |   194 |    3270 |    4612     385    4612 |     769     385     769 |    0.1    9.7    2.4
113  |   194 |    3269 |    5365     385    5365 |     771     385     771 |    0.1   13.0    2.8
114  |   193 |    3262 |    5358     384    5358 |     768     384     768 |    0.1   12.5    2.7
115  |   194 |    2692 |    5373     385    5373 |     770     385     770 |    0.2    9.9    2.4
116  |   194 |    3284 |    5375     385    5375 |     771     385     771 |    0.1   12.6    2.8
117  |   194 |    3266 |    5365     385    5365 |     770     385     770 |    0.1   12.5    2.8
118  |   193 |    3261 |    5353     384    5353 |     769     384     769 |    0.2   12.6    2.8
119  |   194 |    3284 |    5370     384    5370 |     770     385     770 |    0.1   12.7    2.7
120  |   194 |    3243 |    4590     384    4590 |     768     384     768 |    0.1    9.2    2.4
121  |   194 |    3276 |    5376     385    5376 |     771     385     771 |    0.2   12.6    2.7
122  |   194 |    3272 |    5359     385    5359 |     769     385     769 |    0.1   12.6    2.7
123  |   194 |    2510 |    5353     386    5353 |     772     386     772 |    0.1    9.9    2.4
124  |   193 |    2260 |    4541     383    4541 |     766     383     766 |    0.1    9.1    2.3
125  |   193 |    3269 |    5363     384    5363 |     769     384     769 |    0.1   12.6    2.7
126  |   194 |    3277 |    5370     385    5370 |     769     385     769 |    0.1   12.0    2.7
127  |   194 |    3271 |    4611     385    4611 |     770     385     770 |    0.1    9.6    2.4
128  |   194 |    3235 |    4583     385    4583 |     769     385     769 |    0.2    8.9    2.2
129  |   194 |    3260 |    5340     384    5340 |     767     384     767 |    0.1   12.2    2.7
130  |   194 |    3288 |    5373     386    5373 |     773     386     773 |    0.1    9.5    2.3
131  |   194 |    3290 |    5381     385    5381 |     771     385     771 |    0.1   12.5    2.7
132  |   191 |    2645 |    5299     384    5299 |     767     384     767 |    0.1    9.0    2.3
133  |   194 |    2095 |    4596     383    4596 |     767     384     767 |    0.1    9.3    2.3
134  |   194 |    3287 |    5382     386    5382 |     771     386     771 |    0.2   12.3    2.7
135  |   194 |    3276 |    5356     384    5356 |     770     384     770 |    0.1    9.4    2.4
136  |   194 |    3259 |    4602     385    4602 |     770     385     770 |    0.1    9.2    2.4
137  |   194 |    3270 |    5371     385    5371 |     770     385     770 |    0.2   12.6    2.8
138  |   194 |    3255 |    5335     384    5335 |     767     384     767 |    0.1   12.2    2.7
139  |   194 |    3270 |    5367     385    5367 |     769     385     769 |    0.1   12.7    2.8
140  |   194 |    3262 |    5342     384    5342 |     768     384     768 |    0.1   12.7    2.7
141  |   194 |    3272 |    5365     384    5365 |     770     384     770 |    0.1   12.5    2.7
142  |   194 |    3284 |    5372     385    5372 |     770     385     770 |    0.1   12.2    2.8
143  |   194 |    3269 |    5352     384    5352 |     769     384     769 |    0.1   12.0    2.6
144  |   194 |    2479 |    4593     384    4593 |     769     384     769 |    0.1    9.5    2.3
145  |   194 |    2118 |    5358     385    5358 |     771     386     771 |    0.1    9.9    2.4
146  |   192 |    3248 |    5350     383    5350 |     766     383     766 |    0.1   12.1    2.7
147  |   194 |    3285 |    5379     385    5379 |     770     385     770 |    0.1   12.0    2.7
148  |   194 |    3281 |    5372     385    5372 |     770     385     770 |    0.1   12.1    2.7
149  |   194 |    2893 |    5370     384    5370 |     769     384     769 |    0.1   12.6    2.7
150  |   194 |    3273 |    5358     385    5358 |     771     385     771 |    0.1   12.4    2.6
151  |   194 |    3268 |    5357     385    5357 |     770     385     770 |    0.1   12.1    2.7
152  |   194 |    3278 |    5362     384    5362 |     769     384     769 |    0.1   12.8    2.8
153  |   194 |    3285 |    5381     385    5381 |     770     385     770 |    0.1   11.8    2.7
154  |   194 |    2100 |    4593     384    4593 |     768     384     768 |    0.1    9.3    2.3
155  |   194 |    3280 |    5356     386    5356 |     772     386     772 |    0.1   12.9    2.8
156  |   194 |    3286 |    5376     386    5376 |     772     386     772 |    0.1   12.5    2.7
157  |   194 |    2492 |    5349     385    5349 |     772     386     772 |    0.1    9.4    2.4
158  |   194 |    3274 |    5371     385    5371 |     770     385     770 |    0.1   12.5    2.8
159  |   194 |    3274 |    5367     385    5367 |     770     385     770 |    0.1   12.1    2.7
160  |   192 |    3237 |    4586     383    4586 |     766     383     766 |    0.1    9.4    2.3
161  |   193 |    3258 |    5359     384    5359 |     767     384     767 |    0.1   12.4    2.7
162  |   194 |    3250 |    5308     384    5308 |     768     384     768 |    0.1   12.1    2.6
163  |   192 |    3222 |    4576     383    4576 |     766     383     766 |    0.3    9.6    2.3
164  |   194 |    2672 |    4596     384    4596 |     769     384     769 |    0.1    9.5    2.3
165  |   192 |    3236 |    4575     383    4575 |     765     383     765 |    0.1    9.6    2.5
166  |   193 |    3258 |    5357     384    5357 |     769     384     769 |    0.2   12.3    2.6
167  |   193 |    3274 |    5362     385    5362 |     770     385     770 |    0.1   12.5    2.7
168  |   194 |    3273 |    5363     386    5363 |     772     386     772 |    0.1    9.3    2.3
169  |   194 |    3277 |    5370     386    5370 |     772     386     772 |    0.1   12.5    2.7
170  |   194 |    3280 |    5380     386    5380 |     771     386     771 |    0.1   12.5    2.7
171  |   193 |    3267 |    5352     385    5352 |     769     385     769 |    0.1   12.0    2.6
172  |   194 |    3267 |    5360     384    5360 |     768     384     768 |    0.1   12.8    2.7
173  |   194 |    3282 |    5374     385    5374 |     770     385     770 |    0.1   12.8    2.7
174  |   194 |    3284 |    5363     386    5363 |     772     386     772 |    0.1   12.7    2.7
175  |   194 |    3286 |    5377     385    5377 |     771     385     771 |    0.1   12.8    2.7
176  |   194 |    3276 |    5372     385    5372 |     770     385     770 |    0.1   12.7    2.7
177  |   194 |    3284 |    5372     385    5372 |     770     385     770 |    0.1   12.8    2.7
178  |   194 |    2462 |    4578     384    4578 |     768     384     768 |    0.1    9.6    2.3
179  |   194 |    3285 |    5376     385    5376 |     770     385     770 |    0.1   12.3    2.8
180  |   193 |    2670 |    4594     383    4594 |     767     383     767 |    0.1    9.7    2.4
181  |   194 |    3281 |    5377     385    5377 |     770     385     770 |    0.1   12.6    2.7
182  |   194 |    3283 |    5359     386    5359 |     773     386     773 |    0.1   12.1    2.8
183  |   194 |    2885 |    5342     386    5342 |     772     386     772 |    0.1    9.5    2.4
