=== L5_alg2_1000_prealloc ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): ON

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8235.64 ms
  Set 2: 8295.41 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
272  |   254 |    4295 |    7071     506    7071 |    1012     506    1012 |    0.1   23.3    0.9
273  |   255 |    4321 |    7095     508    7095 |    1015     508    1015 |    0.2   22.9    0.9
274  |   254 |    4293 |    7057     505    7057 |    1012     505    1012 |    0.2   23.2    0.9
275  |   255 |    4309 |    7086     508    7086 |    1016     508    1016 |    0.1   23.1    0.9
276  |   255 |    4315 |    7082     507    7082 |    1014     507    1014 |    0.1   23.9    0.9
277  |   254 |    4297 |    6068     506    6068 |    1012     506    1012 |    0.1   18.1    0.8
278  |   254 |    4301 |    7080     507    7080 |    1013     507    1013 |    0.1   23.2    0.9
279  |   255 |    4304 |    7080     507    7080 |    1014     507    1014 |    0.1   24.0    0.9
280  |   255 |    4322 |    7098     507    7098 |    1016     508    1016 |    0.1   23.5    0.9
281  |   254 |    3256 |    6032     506    6032 |    1012     506    1012 |    0.2   16.9    0.8
282  |   253 |    4287 |    6061     506    6061 |    1011     506    1011 |    0.1   17.4    0.8
283  |   255 |    4295 |    7055     508    7055 |    1016     508    1016 |    0.2   24.1    0.9
284  |   255 |    4310 |    7087     508    7087 |    1016     508    1016 |    0.2   22.7    0.9
285  |   255 |    4302 |    7055     506    7055 |    1013     506    1013 |    0.1   23.7    0.9
286  |   255 |    3018 |    6051     506    6051 |    1014     506    1014 |    0.2   17.0    0.8
287  |   252 |    4236 |    6996     506    6996 |    1012     506    1012 |    0.2   17.8    0.8
288  |   255 |    4319 |    7081     508    7081 |    1017     508    1017 |    0.2   23.1    0.9
