=== L5_alg2_1000_baseline ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): OFF

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8383.42 ms
  Set 2: 8247.00 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
145  |   255 |    4287 |    6062     507    6062 |    1014     507    1014 |    0.2   17.5    0.8
146  |   255 |    4322 |    7093     508    7093 |    1015     508    1015 |    0.2   24.9    0.9
147  |   255 |    4322 |    7098     508    7098 |    1016     508    1016 |    0.2   24.1    0.9
148  |   255 |    4310 |    7068     507    7068 |    1014     507    1014 |    0.2   24.1    0.9
149  |   255 |    4328 |    7094     508    7094 |    1016     508    1016 |    0.2   22.6    0.9
150  |   254 |    4298 |    7070     506    7070 |    1012     506    1012 |    0.2   23.1    0.9
151  |   253 |    4283 |    6047     506    6047 |    1013     506    1013 |    0.2   16.8    0.8
152  |   255 |    4303 |    7080     507    7080 |    1015     507    1015 |    0.1   22.5    0.9
153  |   253 |    4247 |    7008     506    7008 |    1013     506    1013 |    0.2   17.3    0.8
154  |   255 |    4318 |    7095     508    7095 |    1015     508    1015 |    0.2   23.0    0.9
155  |   255 |    4317 |    7090     508    7090 |    1015     508    1015 |    0.1   23.6    0.9
156  |   255 |    4320 |    7085     507    7085 |    1014     507    1014 |    0.2   23.8    0.9
157  |   254 |    3790 |    7016     510    7016 |    1020     510    1020 |    0.2   17.7    0.8
158  |   255 |    4323 |    7092     508    7092 |    1016     508    1016 |    0.2   23.6    0.9
159  |   255 |    4319 |    7076     509    7076 |    1017     509    1017 |    0.2   24.3    0.9
160  |   255 |    4324 |    7095     508    7095 |    1015     508    1015 |    0.2   23.8    0.9
161  |   255 |    3546 |    7084     508    7084 |    1016     508    1016 |    0.1   24.5    0.9
162  |   255 |    3562 |    7081     508    7081 |    1018     508    1018 |    0.2   17.6    0.8
163  |   255 |    4310 |    7076     507    7076 |    1015     507    1015 |    0.2   22.5    0.9
164  |   254 |    4306 |    7065     507    7065 |    1016     507    1016 |    0.2   22.9    0.9
165  |   253 |    3009 |    6043     505    6043 |    1011     505    1011 |    0.1   18.2    0.8
166  |   255 |    4309 |    7084     507    7084 |    1014     507    1014 |    0.2   23.7    0.9
167  |   255 |    4312 |    7088     507    7088 |    1014     507    1014 |    0.2   22.9    0.9
168  |   255 |    4317 |    7085     507    7085 |    1014     507    1014 |    0.1   23.1    0.9
169  |   255 |    4294 |    7075     507    7075 |    1014     507    1014 |    0.2   23.5    0.9
170  |   255 |    4301 |    7078     507    7078 |    1014     507    1014 |    0.1   23.0    0.9
171  |   254 |    4275 |    7024     505    7024 |    1011     505    1011 |    0.1   23.1    0.9
172  |   255 |    4312 |    7082     507    7082 |    1015     507    1015 |    0.2   23.8    1.0
173  |   254 |    4287 |    7050     508    7050 |    1016     508    1016 |    0.2   22.5    0.9
174  |   254 |    4299 |    7076     506    7076 |    1014     506    1014 |    0.2   23.7    1.0
175  |   254 |    4303 |    7080     507    7080 |    1013     507    1013 |    0.2   23.3    0.9
176  |   255 |    4296 |    7054     506    7054 |    1012     506    1012 |    0.1   24.2    0.9
177  |   254 |    4294 |    7054     506    7054 |    1012     506    1012 |    0.2   24.2    0.9
178  |   254 |    3787 |    7067     507    7067 |    1015     507    1015 |    0.2   18.3    0.8
179  |   255 |    4312 |    7075     507    7075 |    1014     507    1014 |    0.2   23.9    0.9
180  |   255 |    4314 |    7084     508    7084 |    1015     508    1015 |    0.2   23.2    0.9
181  |   254 |    4298 |    7075     507    7075 |    1014     507    1014 |    0.2   23.7    0.9
182  |   255 |    4320 |    7077     508    7077 |    1017     508    1017 |    0.1   23.1    0.9
183  |   254 |    4277 |    6055     505    6055 |    1012     506    1012 |    0.2   17.9    0.8
184  |   253 |    4284 |    6058     506    6058 |    1011     506    1011 |    0.2   17.0    0.8
